Korean,English
것,thing
하다,do
있다,have
되다,to be
나,me
없다,none
사람,Person
우리,we
아니다,not
같다,same
대하다,treat
년,year
때문,because
말하다,say
위하다,for
그러나,But
알다,know
그렇다,Yes
또,In addition
사회,Social
많다,many
좋다,good night
더,more
받다,receive
그것,that
집,Home
나오다,come out
그리고,and
문제,Problem
그런,then
살다,live
생각하다,Think
모르다,I do not know
속,inside
만들다,to make
데,place
두,two
앞,front
경우,case
중,middle
어떤,which
잘,well
그녀,she
오다,come
문화,culture
생각,think
어떻다,how
명,number of people
통하다,pass
그러다,Then
소리,sound
다시,again
다른,Different
이런,this
여자,Woman
정도,degree
뒤,back
듣다,listen
좀,A little
싶다,want
함께,together
지나다,pass by
많이,A lot of
너,you
주다,give
인간,human
이렇다,Like this
어머니,mother
의하다,be due to
시대,era
다음,next
이러하다,Do this
누구,who
곳,place
여러,Various
세계,world
운동,Exercise
퍼센트,percent
학교,school
대통령,president
시작하다,start
바로,Right away
어느,which
무엇,what
정부,goverment
모든,every
번,th
그거,it
돈,money
국가,country
그런데,By the way
날,me
여기,here
여성,female
친구,friend
마음,mind
후,after
가다,go
관계,relation
아버지,father
남자,man
몸,body
얼굴,face
들어가다,enter
왜,why
나타나다,to appear
지역,region
다르다,different
모습,figure
물,water
만나다,meet
보이다,show
이것,this
없이,without
이번,this time
길,road
생활,life
뿐,only
사이,between
방법,Way
새롭다,new
우리나라,our country
내다,Pay
앉다,Sit
처음,first
손,hand
그때,at that time
삶,Life
찾다,find
특히,Especially
지금,now
이야기,story
교육,education
사다,buy
경제,economy
아직,yet
잡다,Catch
같이,together
선생님,Teacher
예술,art
서다,stand
역사,history
읽다,To read
결과,result
내용,Contents
동안,During
책,book
일어나다,Rise
당신,you
넣다,put in
중요하다,It is important
무슨,what
느끼다,feel
어렵다,difficult
힘,strength
너무,Too
나라,country
의미,meaning
밝히다,clarify
이미,already
정치,politics
국민,nation
생명,life
얘기,story
학생,student
연구,Research
엄마,Mom
이름,name
하나,one
내리다,get off
사건,Incident
및,and
쉽다,easy
짓다,build
또한,In addition
이유,reason
또는,or
필요하다,need
글,writing
생기다,to happen
사용하다,use
남편,husband
들어오다,come in
밖,Outside
세상,world
작다,small
대학,university
작품,Work
상황,situation
가운데,middle
보내다,send
즉,In other words
따라서,therefore
상태,situation
이후,after
당시,at that time
문학,literature
더욱,More
아주,very
높다,high
최근,recent
현실,reality
환경,Environment
컴퓨터,computer
먼저,first
다니다,to go
얼마나,how much
자체,itself
열다,open
머리,head
남다,left
부분,part
기업,Enterprise
거기,there
변화,change
아들,son
뜻,meaning
아,ah
기다리다,wait
떨어지다,drop
선거,election
관하다,Tear
그냥,just
나누다,divide
이용하다,use
거의,almost
곧,soon
중심,center
활동,activity
관심,Attention
역시,Also
이거,this
광고,advertisement
나다,It's me
방,room
정신,mental
땅,earth
이루다,accomplished
아침,morning
웃다,laugh
현상,phenomenon
두다,put
떠나다,leave
기술,technology
전체,all
얻다,get
아름답다,beautiful
끝,End
민족,people
조사,inspection
듯,As if
입,mouth
뭐,What
그대로,as it is
영화,movie
필요,need
하늘,sky
년대,In the year
과학,science
듯하다,look like
자연,nature
구조,rescue
결국,finally
밥,rice
입다,put on
오히려,rather
프로그램,program
이루어지다,come true
하루,day
그림,painting
마시다,drink
혼자,alone
나가다,go out
이제,now
교수,professor
사랑,love
전화,telephone
끝나다,end
돌아오다,Come back
아빠,Dad
걸리다,hang
지키다,protect
한번,once
커피,coffee
가슴,chest
길다,long
바라보다,Look at
알아보다,Inquire
회사,company
맛,taste
대부분,most
산업,industry
매우,very
오르다,climb
음식,food
표정,expression
일부,part
요즘,Nowadays
계획,plan
느낌,feeling
얼마,how much
성격,Character
계속,continue
세기,century
세우다,set up
아내,wife
가족,family
놓다,put
놀다,play
향하다,lean towards
관련,related
형태,shape
각,each
도시,city
작업,work
분위기,atmosphere
그러하다,It is true
자기,self
나이,age
우선,priority
믿다,trust
바꾸다,change
낳다,give birth
정보,Information
좋아하다,like
그리다,draw
만큼,as much as
배우다,learn
역할,role
옆,side
행동,behavior
어,uh
국내,domestic
비하다,Compare
기관,Agency
입장,Entrance
만하다,be worth
아래,under
방식,method
영향,effect
나서다,launch
흐르다,flow
깊다,deep
내,my
산,mountain
하지만,However
조건,Condition
문,door
꽃,Flower
단계,step
올리다,raise
그동안,Meantime
교사,teacher
갑자기,suddenly
넘다,exceed
지니다,carry
잘하다,Do well
마을,Town
대표,representative
가능성,Possibility
방향,direction
대회,Competition
목소리,voice
노래,Song
바다,ocean
힘들다,it's tough
공부,study
움직이다,Move
의원,lawmaker
노력,effort
전혀,Not at all
언니,sister
단체,group
분,minute
알려지다,known
가능하다,It is possible
능력,ability
주장하다,Claim
자식,child
돌리다,turn
불,fire
주민,citizen
모으다,gather
자료,data
존재,existence
학년,grade
신문,newspaper
가지다,have
이해하다,Understand
제품,product
분야,Field
선생,teacher
돌아가다,return
사업,business
행위,Act
수준,level
지난해,Last year
표현,expression
기분,mood
젊다,young
동시,The same time
옷,dress
순간,Moment
전쟁,War
꿈,dream
할머니,grandmother
방송,broadcast
이야기하다,Talk
나무,tree
자다,sleep
연극,theater
오늘,today
마찬가지,same here
노동,labor
이때,At this time
가치,value
시간,hour
집단,group
현대,hyundai
살펴보다,Look at
장관,Minister
차이,difference
풀다,solve
시절,days
물건,thing
개인,individual
근데,by the way
발,foot
작가,Writer
효과,effect
불교,buddhism
끌다,drag
대로,Road
빨리,hurry
시작되다,Start
둘,two
설명하다,Explicate
우주,space
마치,Like
생산,Produce
바라다,Hope
강하다,strong
경험,experience
음악,music
최고,best
나타내다,Express
아프다,sick
고향,hometown
놀라다,surprised
다양하다,Varies
울다,cry
농민,Peasant
드러나다,emerge
은행,Bank
지내다,stay
결혼,marriage
동생,Brother
소설,novel
오후,afternoon
질서,law
담다,Put
모이다,gather
시민,citizen
회장,Chairman
빠르다,fast
아기,baby
아저씨,mister
옛날,A long ago
이날,On this day
제대로,properly
던지다,Throw
공간,space
이곳,this place
딸,daughter
마지막,last
벌이다,Earn
병원,hospital
자세,posture
강조하다,Emphasize
경찰,police
저녁,dinner
그러면,then
기자,reporter
넓다,wide
시험,exam
잠,sleep
주로,mostly
훨씬,more
통일,unity
들어서다,Enter
건강,health
가깝다,close
건물,building
시설,facility
외국,foreign country
밑,bottom
어른,Adult
주변,around
대신,instead
원인,cause
팔다,sell
차례,order
열심히,hard
일하다,to work
재산,property
팀,team
부모,parents
언어,language
요구하다,request
올라가다,Go up
첫,First
감독,director
그날,that day
사실,actually
자주,often
당하다,encounter
삼다,make
기간,period
담배,tobacco
일으키다,Raise
일단,First
할아버지,grandfather
조직,group
태어나다,bear
공장,factory
벌써,already
즐기다,enjoy
지,ji
환자,patient
변하다,change
그래도,still
아무리,no matter how
맞추다,set
쌀,rice
일반,Normal
재미있다,It is interesting
가르치다,teach
대화,Conversation
막다,block
올해,this year
달리,Different
버리다,throw away
붙이다,attach
인물,Character
늘,always
모두,all
전국,Nationwide
마치다,finish
전,I'm
다만,but
도움,help
걸다,bet
멀다,far
버스,Bus
오늘날,Today
농업,Agriculture
대다,put
식,ceremony
의견,opinion
무대,stage
사진,Photo
주장,opinion
표현하다,Express
인하다,Take on
이상하다,weird
제일,most
붙다,pass
아마,maybe
얘기하다,talk
잇다,connect
조금,little
목적,purpose
태도,attitude
남성,male
주위,around
대책,Measures
그만,stop
발생하다,to occur
재료,ingredient
결코,never
옮기다,move
항상,always
잃다,lose
자유,freedom
책임,responsibility
바뀌다,change
비슷하다,similar
심하다,Severe
경쟁,compete
사랑하다,Love
여름,Summer
자라다,grow
회,episode
구체적,detailed
기회,chance
실시하다,Enforce
번째,th
소비자,consumer
싫다,hate
규모,Scale
기준,standard
반드시,certainly
셈,count
갖추다,possess
그러니까,So
받아들이다,accept
값,value
현장,site
건설,erection
꺼내다,take out
노동자,worker
동네,town
언제나,always
완전히,completely
자동차,car
전하다,impart
존재하다,Exist
개월,month
별로,not really
어린이,children
정하다,decide
한마디,one word
유지하다,maintain
이데올로기,Ideology
공부하다,study
대중,public
늘어나다,increase
닦다,To Wipe
말씀,words
괜찮다,Okay
눈물,tear
각종,various
빛,light
아니,no
피하다,avoid
거치다,pass through
나아가다,go forward
야,hey
지식,knowledge
현재,today
여전히,still
주인,host
발견하다,Discover
선,line
인류,humanity
특징,Characteristic
선수,player
형식,form
마련하다,prepare
발표하다,Announce
주제,topic
걸치다,cover
겪다,experience
관점,aspect
귀,ear
기본,basic
미터,Meter
사라지다,Disappear
어떠하다,How
감정,emotion
기억,memory
놈,bloke
인기,popularity
아파트,Apartment
가끔,Once in a while
구성,composition
술,alcohol
실제로,in reality
짧다,short
고맙다,Thank you
그곳,there
보다,see
비롯하다,From
과연,indeed
들리다,hear
바쁘다,busy
이전,before
인정하다,recognize
중앙,center
나쁘다,bad
불구하다,Despite
시키다,order
게임,game
국제,International
그룹,group
인생,life
전통,tradition
기르다,cultivate
잔,glass
조사하다,Investigate
커다랗다,Big
시인,poet
외,except
평가,evaluation
내려오다,go down
위치,location
줄이다,Reduce
가격,price
달라지다,to be different
비다,be empty
삼국,Three Kingdoms
손님,Guest
원하다,Want
통신,communication
확인하다,Confirm
모임,class
아무,nothing
웃음,laugh
기계,machine
모양,shape
물질,matter
아나운서,announcer
뉴스,news
살아가다,Live
펴다,Spread
겨울,winter
종교,religion
층,floor
자연스럽다,natural
돌다,spin
식사,meal
안다,know
잊다,forget
제시하다,Present
반,half
불과하다,Only
혹은,or
엄청나다,tremendous
텔레비전,television
파악하다,Seize
실천,implement
노력하다,do the efforts
보호,protect
씻다,wash
한편,Meanwhile
이웃,Neighborhood
편지,letter
공동,public
까닭,reason
방안,measures
센티미터,centimeter
분명하다,Obvious
분석,analysis
소녀,girl
지나가다,Pass by
상품,Goods
설명,Explanation
훌륭하다,excellent
관계자,Officials
새로,New
이어지다,be connected
티브이,TV
봄,spring
종류,type
낮다,low
어깨,shoulder
지적하다,Point out
부부,married couple
오래,long time
요구,request
키우다,grow
눕다,lay down
발달하다,develop
발전하다,improve
여행,Travel
죽음,death
고통,pain
등장하다,appear
공,zero
듯이,As if
어울리다,comport
오월,May
알리다,inform
멀리,far
빼다,remove
예정,expected
오빠,brother
즐겁다,fun
한계,Limit
흔히,Often
바탕,background
사월,April
싸우다,fight
언제,when
예쁘다,pretty
갈등,conflict
느껴지다,Feel
의지,willpower
전문,specialty
정확하다,Accurate
초기,Early
나중,later
맛있다,delicious
며칠,few days
신경,nerve
찾아오다,come to
미,mi
사용,use
시선,Sight
아무런,Any
언론,Press
투자,investment
지원,support
결정하다,decide
경영,management
목표,target
성장,growth
숲,forest
없어지다,Run out
작년,last year
내려가다,go down
떠오르다,fly
새벽,dawn
쓰레기,Garbage
얼른,hurry
피해,Harm
무섭다,scary
직장,rectal
참다,suppress
크기,size
고기,meat
남기다,leave
서양,Western
주요,main
가져오다,Bring
냄새,smell
부드럽다,soft
여기다,It's here
공연,show
남녀,Men and women
내놓다,put out
떼다,cut
만들어지다,Made
속도,speed
심각하다,Serious
준비,Ready
계속되다,Continue
구월,September
맑다,clear
소년,boy
소식,News
유월,June
작용,Action
허리,waist
골,goal
공업,industry
그중,among them
노인,old man
벌다,Earn
살리다,save
영어,english
출신,Native
결정,decision
경향,tendency
기록,record
나름,depending on
대답하다,Answer
반면,On the other hand
썰다,chop
움직임,movement
이미지,image
터지다,To explode
특성,characteristic
교장,Principal
벗다,take off
업무,work
입시,Entrance examination
준비하다,Prepare
청소년,Teenager
돕다,help
응,yes
이기다,win
찾아보다,To look for
다루다,treat
달,moon
사장,CEO
삼월,March
그렇지만,but
선배,senior
업체,company
키,key
국회,Congress
그러므로,therefore
포함하다,Comprise
걱정,worry
결혼하다,Get married
만약,what if
세월,time
숨,breath
깨닫다,realize
누나,sister
왕,king
점점,Gradually
질문,Questions
특별,Special
판단,judgment
해결하다,solve
계속하다,Continue
그치다,stop
근처,around
너무나,too
높이다,heighten
부정,denial
사정,circumstances
도대체,why
부모님,parents
수출,Export
그,that
자르다,cut
데리다,be accompanied
마리,number of animals
무척,very
비용,cost
비행기,airplane
옳다,right
원래,usually
처리,process
최초,the first
꼴,form
놀이,play
뜨겁다,hot
뿌리,Root
그리하여,therefore
낮,afternoon
일찍,early
직원,employee
찍다,hew
가볍다,light
내부,inside
다소,a little
상대,opponent
오전,morning
피부,skin
가게,store
가득,full
그저,just
벽,wall
장군,General
무역,Trade
부담,Burden
약속,promise
줄,line
쳐다보다,To look at
충분히,enough
신체,body
에너지,energy
위원,commissioner
정리하다,Straighten out
집안,house management
배경,background
죽이다,To kill
단순하다,simple
반대,the opposite
법칙,Rule
빠지다,fall in
소금,salt
오염,pollution
자전거,bicycle
참여하다,participate
탓,fault
푸르다,Green
그래,okay
목,neck
발표,Announcement
범죄,crime
흔들다,shake
기초,Foundation
논리,logic
드라마,drama
뽑다,select
피우다,smoke
감각,sense
미리,already
부족하다,lack
저희,we
진행되다,Proceed
교통,traffic
법,law
오랜,long-time
젊은이,young people
후보,candidate
과제,assignment
근거,Evidence
기록하다,Record
다가오다,to come closer
불다,blow
이끌다,lead
종합,Synthesis
한글,korean
가을,autumn
개발하다,Develop
떨다,shiver
손가락,finger
수단,Way
자유롭다,free
적극적,active
판매,sale
형성,formation
기울이다,Tilt
길이,length
장면,scene
점차,gradually
톤,ton
관련되다,It is related
급,class
나머지,Remainder
날씨,weather
더불다,Further
동물,animal
개방,Opening
건강하다,healthy
미래,future
앞서,previously
여러분,everyone
왜냐하면,because
인구,population
기대하다,Expect
네,yes
도착하다,arrive
소프트웨어,software
흘리다,spill
반응,reaction
주인공,Hero
당연하다,Natural
따뜻하다,Warm
따로,seperately
비판,Criticism
빌리다,borrow
세대,Generation
축구,soccer
형님,older brother
놓이다,go
당장,right now
무렵,Around
사물,objects
일반적,In general
장소,Place
곱다,pretty
